avg_cell_voltage;charging_current;max_cell_voltage;min_cell_voltage;max_cell_temp;min_cell_temp;soc;timestamp;;
3.9;-199.6;3.9;3.9;31;29;48;37.8;;
3.9;-199.6;3.9;3.9;31;29;48;37.94;;
3.9;-199.6;3.9;3.9;31;29;48;38.08;;
3.9;-199.6;3.9;3.9;31;29;48;38.22;;
3.9;-199.7;3.9;3.9;31;29;48;38.36;;
3.9;-199.7;3.9;3.9;31;29;48;38.5;;
3.9;-199.7;3.9;3.9;31;29;48;38.64;;
3.9;-199.7;3.9;3.9;31;29;48;38.78;;
3.9;-200.7;3.9;3.9;31;29;48;38.92;;
3.9;-200.7;3.9;3.9;31;29;48;39.06;;
3.9;-200.7;3.9;3.9;31;29;48;39.2;;
3.9;-200.7;3.9;3.9;31;29;48;39.34;;
3.9;-200.8;3.9;3.9;31;29;48;39.48;;
3.9;-200.8;3.9;3.9;31;29;48;39.62;;
3.9;-200.8;3.9;3.9;31;29;48;39.76;;
3.9;-200.8;3.9;3.9;31;29;48;39.9;;
3.9;-200.5;3.9;3.9;31;29;48.5;40.04;;
3.9;-200.5;3.9;3.9;31;29;48.5;40.18;;
3.9;-200.5;3.9;3.9;31;29;48.5;40.32;;
3.9;-200.5;3.9;3.9;31;29;48.5;40.46;;
3.9;-200.4;3.9;3.9;31;29;48.5;40.6;;
3.9;-200.4;3.9;3.9;31;29;48.5;40.74;;
3.9;-200.4;3.9;3.9;31;29;48.5;40.88;;
3.9;-200.4;3.9;3.9;31;29;48.5;41.02;;
3.9;-199.5;3.9;3.9;31;29;48.5;41.16;;
3.9;-199.5;3.9;3.9;31;29;48.5;41.3;;
3.9;-199.5;3.9;3.9;31;29;48.5;41.44;;
3.9;-199.5;3.9;3.9;31;29;48.5;41.58;;
3.9;-199.7;3.9;3.9;31;29;48.5;41.72;;
3.9;-199.7;3.9;3.9;31;29;48.5;41.86;;
3.9;-199.7;3.9;3.9;31;29;48.5;42;;
3.9;-199.7;3.9;3.9;31;29;48.5;42.14;;
3.9;-200.5;3.9;3.9;31;29;48.5;42.28;;
3.9;-200.5;3.9;3.9;31;29;48.5;42.42;;
3.9;-200.5;3.9;3.9;31;29;48.5;42.56;;
3.9;-200.5;3.9;3.9;31;29;48.5;42.7;;
3.9;-200.6;3.9;3.9;31;29;48.5;42.84;;
3.9;-200.6;3.9;3.9;31;29;48.5;42.98;;
3.9;-200.6;3.9;3.9;31;29;48.5;43.12;;
3.9;-200.6;3.9;3.9;31;29;48.5;43.26;;
3.9;-200.8;3.9;3.9;31;29;48.5;43.4;;
3.9;-200.8;3.9;3.9;31;29;48.5;43.54;;
3.9;-200.8;3.9;3.9;31;29;48.5;43.68;;
3.9;-200.8;3.9;3.9;31;29;48.5;43.82;;
3.9;-200.7;3.9;3.9;31;29;48.5;43.96;;
3.9;-200.7;3.9;3.9;31;29;48.5;44.1;;
3.9;-200.7;3.9;3.9;31;29;48.5;44.24;;
3.9;-200.7;3.9;3.9;31;29;48.5;44.38;;
3.9;-199.6;3.9;3.9;31;29;48.5;44.52;;
3.9;-199.6;3.9;3.9;31;29;48.5;44.66;;
3.9;-199.6;3.9;3.9;31;29;48.5;44.8;;
3.9;-199.6;3.9;3.9;31;29;48.5;44.94;;
3.9;-199.8;3.9;3.9;31;29;48.5;45.08;;
3.9;-199.8;3.9;3.9;31;29;48.5;45.22;;
3.9;-199.8;3.9;3.9;31;29;48.5;45.36;;
3.9;-199.8;3.9;3.9;31;29;48.5;45.5;;
3.9;-200.9;3.9;3.9;31;29;48.5;45.64;;
3.9;-200.9;3.9;3.9;31;29;48.5;45.78;;
3.9;-200.9;3.9;3.9;31;29;48.5;45.92;;
3.9;-200.9;3.9;3.9;31;29;48.5;46.06;;
